id,sentence
0,SI1491
1,SX309
2,SI1138
3,SI2264
4,SI1291
5,SI1133
6,SI571
7,SI1978
8,SI1713
9,SI1458
10,SI649
11,SX75
12,SI1312
13,SI838
14,SI1330
15,SX207
16,SI872
17,SI1979
18,SI515
19,SI2228
20,SI2010
21,SI2101
22,SI1362
23,SI2050
24,SI917
25,SI547
26,SI1934
27,SI622
28,SI2082
29,SI1706
30,SI714
31,SI2207
32,SX74
33,SI867
34,SX166
35,SI1080
36,SX256
37,SI623
38,SI1083
39,SI1100
40,SI550
41,SX81
42,SI1381
43,SI1666
44,SI1004
45,SI1821
46,SI2059
47,SX240
48,SI1692
49,SI1911
50,SI2238
51,SI2052
52,SI1266
53,SI627
54,SI536
55,SI1451
56,SX247
57,SI2034
58,SI1355
59,SI816
60,SX156
61,SI1087
62,SI1973
63,SI2155
64,SI712
65,SI1681
66,SI568
67,SI1313
68,SI1583
69,SI1435
70,SI1559
71,SI1641
72,SX401
73,SX15
74,SI532
75,SI1008
76,SI899
77,SI2198
78,SI570
79,SI744
80,SX138
81,SI2332
82,SI1073
83,SI2211
84,SX413
85,SI1829
86,SI484
87,SI1788
88,SI1687
89,SI1818
90,SI2008
91,SI2314
92,SX353
93,SX182
94,SX262
95,SI1095
96,SI792
97,SI1127
98,SI1493
99,SI1076
100,SI1937
101,SI534
102,SI454
103,SI502
104,SI2184
105,SI2271
106,SX385
107,SI1274
108,SI1808
109,SI1621
110,SX295
111,SI1375
112,SI1445
113,SI1227
114,SI1980
115,SI1456
116,SX434
117,SI1636
118,SI1619
119,SI535
120,SI1390
121,SI683
122,SI949
123,SX161
124,SI1945
125,SX418
126,SI600
127,SX358
128,SI1151
129,SI2187
130,SI1469
131,SI873
132,SX398
133,SX189
134,SI1457
135,SX124
136,SI1337
137,SI1868
138,SX404
139,SI1698
140,SX296
141,SI670
142,SI1307
143,SI2236
144,SI1529
145,SI960
146,SX9
147,SI1135
148,SI1452
149,SI1190
150,SI1976
151,SI943
152,SI1049
153,SI523
154,SI639
155,SI1804
156,SI1321
157,SI1958
158,SI1601
159,SX354
160,SI834
161,SI1261
162,SI2006
163,SI1213
164,SX430
165,SI1171
166,SI1332
167,SI1365
168,SI510
169,SX82
170,SI1472
171,SX267
172,SI1861
173,SI2326
174,SI1960
175,SX123
176,SX394
177,SX25
178,SI1103
179,SX373
180,SI2277
181,SI1970
182,SI604
183,SI1702
184,SI1459
185,SX162
186,SI1286
187,SI2176
188,SI1031
189,SX284
190,SX140
191,SX302
192,SX66
193,SI1010
194,SI1153
195,SI749
196,SI2042
197,SI1109
198,SI1124
199,SI2156
200,SI1565
201,SI2333
202,SX113
203,SI1905
204,SI506
205,SI456
206,SI1423
207,SI1252
208,SI1399
209,SI757
210,SI914
211,SI1693
212,SI1721
213,SX316
214,SI666
215,SI1654
216,SI501
217,SX234
218,SI2263
219,SI741
220,SI922
